Document ID,Document Name,Category,Source URL,Content Type,RAG Chunking Strategy,Update Frequency / Recrawl Cadence,Retrieval Priority Tier,Notes / Ingestion Caveats
MAK-KB-001,Timetable Lookup System,Timetable & Scheduling,https://timetable.mak.ac.ug/,Live dynamic system (AJAX/form-driven; academic year -> semester -> type -> unit -> group cascade),"Not chunked / not embedded. Excluded from static RAG corpus - resolve via live query (API call or headless-browser scrape) triggered by the agent's ""timetable lookup"" tool, keyed on Academic Year, Semester, Type and Unit/Group parameters.","Real-time (query on demand, no caching beyond session)",Tier 1 - Core,"No stable canonical page per course; content is rendered client-side after user selections, so a crawler/RAG indexer will only see empty selectors. Requires a dedicated connector/tool rather than a document ID in the vector store."
MAK-KB-002,Graduation Requirements,Academic Policy - Graduation,https://www.mak.ac.ug/students/graduation-requirements,Static policy page (Drupal CMS),"Semantic section-based chunking by H2/H3 heading (e.g. per degree class, per requirement type), ~300-500 tokens/chunk, each chunk tagged with its parent heading as metadata for citation.",Low - review annually or on Senate/Academic Registrar policy change,Tier 1 - Core,Cross-references Grading and Examinations pages; consider adding a related_doc_id link for retrieval-time context stitching.
MAK-KB-003,Grading,Academic Policy - Grading & GPA,https://www.mak.ac.ug/students/grading,Static policy page with embedded tables (marks-to-grade scale; CGPA classification scale) and FAQ-style Q&A blocks,"Hybrid chunking: (1) table-aware chunking - keep the Marks/Letter Grade/Grade Point table and the CGPA classification table each as one atomic chunk with a text preamble restating column headers; (2) Q&A-pair chunking for the 'What can I do if...' / 'How do I appeal?' sections, one Q&A per chunk.",Low - annually,Tier 1 - Core,High-value document for the RAG agent - grading scale table must not be split mid-row or numeric lookups will fail.
MAK-KB-004,Examinations,Academic Policy - Examinations,https://www.mak.ac.ug/students/examinations,Static policy page,"Section-based chunking by heading, with any procedural/appeal steps preserved as ordered-list atomic chunks so step sequence is not broken.",Medium - review each semester before exam period,Tier 1 - Core,Likely overlaps with Grading (appeals) - dedupe or cross-link during ingestion to avoid contradictory retrieved chunks.
MAK-KB-005,Mature Age Entry,Admissions Policy,https://www.mak.ac.ug/how-apply/mature-age-entry,Static policy/eligibility page,"Section-based chunking by heading (eligibility criteria, exam structure, application steps), ~300-400 tokens/chunk.","Low-Medium - annually, ahead of the admissions cycle",Tier 2 - Supporting,Eligibility criteria are high-stakes for user decisions - flag chunks containing dates/deadlines for freshness checks.
MAK-KB-006,Institutes,Academic Units Directory - Institutes,https://www.mak.ac.ug/study-mak/institutes,Directory / listing page,"Record-level chunking - one chunk per listed institute (name + brief description + link), rather than splitting by token count, so a single-entity query retrieves one complete record.",Low - rarely changes,Tier 2 - Supporting,Pair with MAK-KB-007 and MAK-KB-008 under a shared academic_structure tag for routing/disambiguation queries (institute vs college vs department).
MAK-KB-007,Colleges & Departments,Academic Units Directory - Colleges/Departments,https://www.mak.ac.ug/study-mak/colleges-departments,Directory / listing page,"Record-level chunking - one chunk per college, with nested department names kept together in the same chunk as their parent college.",Low - rarely changes,Tier 2 - Supporting,Central reference for routing student inquiries to the correct College/Department support ticket queue.
MAK-KB-008,Academic Units,Academic Units Directory - Overview,https://www.mak.ac.ug/study-mak/academic-units,Static overview/index page linking to sub-directories,"Hierarchical chunking - one chunk per academic-unit category (Colleges, Institutes, Centers, Affiliated Institutions) preserving the parent/child relationship as metadata.",Low - rarely changes,Tier 3 - Reference,Largely a navigational hub; low standalone answer value but useful for disambiguating which unit handles a given query.
MAK-KB-009,E-Learning / Online Learning,Academic Services,https://www.mak.ac.ug/study-mak/e-learning,Static informational page,"Section-based chunking by heading (platforms, access instructions, support contacts).",Medium - review each semester as tools/links change,Tier 3 - Reference,Verify the MUELE portal link stays current at each recrawl; broken links here degrade user trust quickly.
MAK-KB-010,Courses & Programs,Academic Programs Directory,https://www.mak.ac.ug/study-mak/courses-programs,Directory / listing page (links out to courses.mak.ac.ug catalogue of 140+ programmes),"Record-level chunking per programme/college grouping for the listing page itself; treat the linked courses.mak.ac.ug catalogue as a separate, larger sub-corpus requiring its own paginated ingestion job.",Medium-High - review each admissions cycle / whenever new programmes are added,Tier 1 - Core,Highest-volume document family - budget a separate crawl/ingestion pipeline for courses.mak.ac.ug rather than treating it as one page.
MAK-KB-011,Scholarships,Financial Aid / Admissions,https://www.mak.ac.ug/study-mak/scholarships,Static informational page,"Section-based chunking by scholarship scheme/heading, each scheme (eligibility, funder, deadline) kept as one atomic chunk.",High - scholarship listings open/close each term,Tier 2 - Supporting,Time-sensitive content - strongly recommend a valid_until or last_verified field per chunk to prevent the agent citing expired scholarships.
MAK-KB-012,Fees & Payment Structure,Financial Policy,https://www.mak.ac.ug/study-mak/fees-payment-structure,"Static policy page, likely with fee-schedule tables","Table-aware chunking - one atomic chunk per fee-schedule table (programme/college level), plus section-based chunking for payment procedure text.",High - review annually at fee-structure announcement,Tier 1 - Core,Numeric fee data is a common support-ticket trigger if stale; prioritize in the re-crawl schedule and consider a human-in-the-loop verification step before re-indexing.
MAK-KB-013,Registration,Academic Procedure,https://www.mak.ac.ug/study-mak/registration,Static procedural page,"Section-based chunking with ordered-step (numbered) chunks preserved intact for procedural sequences (e.g. registration steps, add/drop deadlines).",Medium-High - review each semester,Tier 1 - Core,Frequently asked in student support tickets - good candidate for a short FAQ-style summary chunk in addition to the full procedure chunks.
MAK-KB-014,Online Application Instructions,Admissions Procedure,https://www.mak.ac.ug/how-apply/online-application-instructions,Static procedural/how-to page,"Step-preserving chunking - one chunk per numbered instruction step, with an introductory chunk summarizing prerequisites (documents, portal link, fees).",Medium - review each admissions cycle,Tier 2 - Supporting,Pair with the Application Portal URL (apply.mak.ac.ug) referenced in-page; verify that link resolves at each recrawl.
